X,Y
9560.342718892494,9478.274870593494
565.5136772680869,848.7199515892163
8354.988781294496,7359.699890685233
6697.304014402209,3081.364575891442
6059.441656784625,6068.017336408379
5812.040171120031,1583.8287025480558
4306.696402912687,3935.318202053714
7230.120812374658,9948.195629497428
9493.954730932435,5441.770474293208
4448.541887258536,2682.407416493281
359.2432939285761,274.4485709081901
4648.938620973121,3184.651278536774
3800.1492190071162,8917.894578282874
5257.527691460283,5605.103610264989
2361.234071150621,238.58079140782195
3251.4292876116,1366.9739298646666
5102.238458372011,9986.83568192552
6744.796973458701,1818.4349682314437
8935.715365829885,7967.599214216395
7344.0169189397775,9065.93649897561
7628.85483833071,7897.476374617632
3537.869778416035,9809.765730721267
9619.009378982257,1611.8465330401887
7540.040716518721,7151.508982374535
4614.066977419776,5303.55716123445
4900.139218501913,9248.320720945703
5008.410626306549,8315.244897918123
3539.242048687159,8828.50918581253
8997.005887566258,4610.121648816376
5677.050704202443,9203.304391919288
7237.729538720184,4866.085548615851
2218.110109910109,3246.67243768898
